eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
0,"[0.7419162010314087, 0.5220921065907778, 0.4171774343880905, 0.9108220921659664, 0.7464710369587361, 0.9835673000846709, 0.7744687729754793, 0.3532556606165881, 0.43070700374480275, 0.4970226157004175]","[0.1268760779065603, 1.2550612931635001]",-36.504920959472656,0.034,3031.590358140759,-43.37359375375945,0.0,0.0,1
1,"[0.5889658881432593, 0.8624856673584459, 0.37440426122847836, 0.5928292560660468, 0.20942917933874872, 0.12870168473469945, 0.2589351675039948, 0.4493700221843081, 0.9805186398602482, 0.16238519618917013]","[0.7747330486829124, 1.191227849765339]",-49.19136047363281,0.276,3112.7472715075687,-252.89821358349326,0.0,1.0,0
2,"[0.10368010753270052, 0.7979429078588656, 0.49373414724032827, 0.2153195271485615, 0.9877562857569903, 0.4297612930140656, 0.4138198863286343, 0.9987729501752127, 0.5439146577146111, 0.4957244334967964]","[1.2733532079624863, 0.1729038018567342]",-53.048675537109375,0.77,3212.790436818893,-14.113179765457517,1.0,0.0,0
3,"[0.023632428671776062, 0.2816134931005958, 0.48736306607251145, 0.012857887744930352, 0.4914833323409261, 0.29770945642086144, 0.6718259817227047, 0.09288854875744723, 0.6043157467736379, 0.6013821213404011]","[1.4452295541498401, 1.3775952868058952]",-43.888031005859375,1.0,4236.486485575914,-116.95764112295899,0.0,1.0,0
4,"[0.17893481367543618, 0.4672684011434851, 0.3549173343096512, 0.9051438366771739, 0.652784802685132, 0.6399131657151546, 0.37050052710804804, 0.790518245853265, 0.17735319182304865, 0.29830276735556926]","[1.459925080268639, 0.953806206216977]",-28.648828506469727,0.374,3432.371450185038,-79.77996047064914,1.0,1.0,0
5,"[0.9269667072846148, 0.531556426498312, 0.5070854352124422, 0.8115158779645404, 0.9065365526896961, 0.06655933206506481, 0.7572363648024241, 0.4065989313758811, 0.5091038982398773, 0.23860277166153243]","[1.3172396119005512, 1.3606962736847152]",-25.555286407470703,0.011,3538.4802565667082,-36.75083454054874,1.0,1.0,0
6,"[0.8122050151262458, 0.29045961628587613, 0.7550132519180535, 0.6089078108765937, 0.9632475898482437, 0.4959391441876757, 0.19457688761579417, 0.2195079915141478, 0.6014041791288685, 0.08962073043795493]","[0.6615530572198147, 1.1654497424988384]",-31.953475952148438,0.129,2980.724557145739,-129.70515746079013,1.0,1.0,0
7,"[0.7281969713021883, 0.41225211081351676, 0.6603726714939671, 0.46770008428541465, 0.5157744326426499, 0.07706848791542142, 0.024011331493556054, 0.2929158759379945, 0.2864487199904745, 0.6576467600079774]","[0.7770490207042496, 1.3912576831453765]",-29.745269775390625,0.036,3067.1550756233387,-69.29860929430612,1.0,1.0,0
8,"[0.732673900343337, 0.2885492360637769, 0.9641909194355908, 0.2734455081289784, 0.8778101871478206, 0.7136426366346105, 0.7655390330287417, 0.3521042640297445, 0.5838583952545342, 0.6082916064372581]","[1.4613069482627232, 1.066079682499568]",-44.98564529418945,0.151,3034.63520824074,-46.89954670157658,1.0,1.0,0
9,"[0.7373054252872605, 0.5914192820348003, 0.10844932301271404, 0.4112686884886242, 0.17072977658825428, 0.43132345380885195, 0.010231902156670136, 0.33099943817048805, 0.7559488323569789, 0.11610473609591099]","[1.4440160599934821, 1.3195008784463607]",-31.8443546295166,0.742,4497.143140598838,-120.89254749020512,1.0,1.0,0
10,"[0.49293616218995406, 0.5324478498483587, 0.3107930117753044, 0.9758320136707291, 0.8870121467184444, 0.6373601174260564, 0.42099270734434335, 0.5749995088018878, 0.5529869643862163, 0.015272435183649069]","[0.8647679793230478, 1.2847364484973847]",-26.707189559936523,0.104,3590.014937003162,-68.86788322714995,1.0,1.0,0
11,"[0.49866886134850175, 0.17791419839100442, 0.35622164118008504, 0.6520981168659544, 0.7444418905939161, 0.9051507074391362, 0.28879164900942544, 0.774382020078661, 0.2064226800628115, 0.7715370379067442]","[1.039186452461093, 0.31820872323865884]",-38.87884521484375,0.377,3124.2976933721734,-70.27883156182429,2.0,0.0,0
12,"[0.7068938596677737, 0.3410494410080632, 0.4004563457975292, 0.06312328594757288, 0.5771130237442562, 0.17805372425306576, 0.8101457296942176, 0.2280566951506835, 0.22304648289323237, 0.924136868277313]","[0.789535267507927, 1.0643976984426988]",-46.862892150878906,1.0,2916.086570696259,-184.90394436526793,1.0,1.0,0
13,"[0.5547696198165065, 0.5160825876377318, 0.8811861793495235, 0.31867896643874516, 0.11784964452439528, 0.23169822139230722, 0.659569533072841, 0.35506101458853867, 0.313666741563808, 0.6631833646572645]","[1.2365024304314944, 0.8374460954228211]",-31.63851547241211,0.688,3324.1372006033835,-164.5212605117652,1.0,1.0,0
14,"[0.19539759987155403, 0.43531315595064457, 0.20941612123621955, 0.7974623155214327, 0.34510057866729216, 0.5948658710060528, 0.2999915037451498, 0.8746240571921795, 0.606709676684979, 0.9468197909796484]","[1.2163813698099761, 1.350674398506333]",-26.336448669433594,0.314,3570.5206127663387,-4.157631145781522,2.0,1.0,0
15,"[0.5118814273652947, 0.8573010008865969, 0.3995968392250302, 0.09751514963535424, 0.841486558403682, 0.8851177060251493, 0.19316997569865946, 0.5257783000795696, 0.08535616172648453, 0.8267136201588152]","[0.7065846822128775, 1.2589665549678326]",-48.34306716918945,0.817,3720.9341113147134,-305.89370416357235,2.0,1.0,0
16,"[0.188257161102365, 0.7877266263227836, 0.6596072674909493, 0.9172632996428407, 0.5993159922695809, 0.9421208694705342, 0.6390262522229664, 0.5460602299006425, 0.23326320620013874, 0.8142430618716505]","[0.615508274358867, 1.201416737764787]",-35.904380798339844,0.34,2731.375016092384,-11.822068991965807,2.0,1.0,0
17,"[0.633303004964886, 0.2842264265315978, 0.5315023647330197, 0.16828799503434966, 0.6790112450880074, 0.5874149048515857, 0.23079608369978155, 0.05905631897829, 0.7083692223653099, 0.028343139334361833]","[0.617824345855178, 1.2038270759152134]",-33.73711395263672,0.424,3400.426608387051,0.8818607689647706,2.0,1.0,0
18,"[0.8806350809002281, 0.07458742422196396, 0.9320824085782379, 0.14566874185476875, 0.3015314021630472, 0.6021361701813102, 0.08362765145734896, 0.12499955865727308, 0.7854702016115908, 0.4115541827996497]","[1.35003302798446, 0.7084983879074531]",-56.52992630004883,1.0,3957.8861157284614,-412.6557135302752,3.0,1.0,0
19,"[0.716135524315577, 0.9265763828646507, 0.3525112870284548, 0.9446171043542214, 0.2829551262065978, 0.9120736349889094, 0.586668750518576, 0.6755103035703888, 0.9781358594533898, 0.9356865558408266]","[1.435918558786387, 0.25122151225093126]",-28.576072692871094,0.14,3230.5670897769974,-144.39668179884774,3.0,1.0,0
20,"[0.9421656316593494, 0.8731312620415899, 0.993906309433891, 0.3738491444106369, 0.8351417342075574, 0.38069524000658606, 0.09368549297431539, 0.21220747485396863, 0.0935034547745921, 0.4859329784263382]","[1.072307852436675, 1.3377326463498305]",-38.28579330444336,0.06,3131.7168649483556,1.8409082103700882,2.0,1.0,0
21,"[0.8953850271326209, 0.20557265759667276, 0.26268325844768114, 0.02094484416240605, 0.27068090144591017, 0.8794320598717107, 0.5513756583147158, 0.41628477156613086, 0.28176023673675177, 0.9191304909520741]","[1.088758246715808, 0.6413468138120098]",-42.356258392333984,1.0,2882.428328163326,7.557674429773186,2.0,2.0,0
22,"[0.7611131728418318, 0.08229124940952703, 0.006155669335288327, 0.613256681670192, 0.2906059077682427, 0.562817570968351, 0.5707371869026688, 0.4513766078981988, 0.8026586252465906, 0.23204551611998447]","[0.05919464671039454, 1.4657497333890772]",-39.98060607910156,1.0,3702.903784294373,16.0434744372032,0.0,0.0,0
23,"[0.4875580786370386, 0.29526571288950065, 0.3657350555800003, 0.7768482879275864, 0.9936568534146455, 0.36880428868132864, 0.6788297965535495, 0.43523470740661496, 0.9461829725207951, 0.4849152370071329]","[0.024923602435105274, 1.2473283527790442]",-36.15690612792969,0.12,3417.921039904258,20.738577437012736,0.0,0.0,0
24,"[0.850551259756355, 0.2754808528630017, 0.7392607956370342, 0.6629613377688489, 0.16146904266095086, 0.9796258488514935, 0.6283084586743911, 0.07962933757560675, 0.32151551530824796, 0.5494715578347591]","[1.288539916479953, 0.9628763856050353]",-44.238059997558594,0.45,3331.098640759599,20.978322791562334,1.0,2.0,0
25,"[0.0043001907504852666, 0.4038284511492043, 0.1949619252207303, 0.32508812283388366, 0.8276226232184107, 0.3953518057604567, 0.6710113104026503, 0.8760714488267184, 0.8268079808374883, 0.8848800971002195]","[0.8398657742651049, 1.1152536838884217]",-25.163639068603516,1.0,2507.4768213749094,20.103654674073823,3.0,1.0,0
26,"[0.3193418039018624, 0.3138203272623701, 0.7008408895008554, 0.4931103229848808, 0.18890636475445843, 0.6959948701337834, 0.2615530463118, 0.22789197890735768, 0.5800284530205562, 0.7312406583584447]","[1.3107516298129689, 0.5582164751952449]",-37.75590133666992,0.339,2985.9666146379886,26.8130143537999,2.0,1.0,0
27,"[0.3994430020003472, 0.484130910594359, 0.9568421661505032, 0.4965961443363097, 0.13251492264908082, 0.17768312108581985, 0.07519442630360906, 0.012996611642042799, 0.8380952953924874, 0.5971018283213804]","[1.3787682822674194, 1.0478921126040406]",-55.021522521972656,0.591,4083.763101123155,30.4171781222648,1.0,1.0,0
28,"[0.7076778979003703, 0.3356970836114517, 0.5333564262211142, 0.32011996751753846, 0.3918329723107977, 0.7424842116732404, 0.00921065799657117, 0.18956699187220505, 0.5664491371813656, 0.4590016363424163]","[0.18301541483209494, 1.4209477918759625]",-30.16351318359375,0.099,3305.2463726203036,36.70055258706839,2.0,0.0,0
